,date,code,open,high,low,close,tradeStatus,volume,pctChg,kline_category
0,2009-08-21,sz.002281,27.0,30.17,25.52,29.79,1,27153733.0,86.18751,positive
1,2009-08-24,sz.002281,28.7,32.38,28.51,31.0,1,20090022.0,4.0618,positive
2,2009-08-25,sz.002281,30.15,30.45,28.7,29.85,1,10357966.0,-3.7097,negative
3,2009-08-26,sz.002281,29.9,31.74,29.42,30.7,1,10487203.0,2.8476,positive
4,2009-08-27,sz.002281,30.05,30.3,28.75,29.05,1,8518694.0,-5.3746,negative
5,2009-08-28,sz.002281,28.5,28.6,26.32,26.41,1,8152802.0,-9.0878,negative
6,2009-08-31,sz.002281,25.8,27.16,25.53,26.49,1,6198008.0,0.3029,positive
7,2009-09-01,sz.002281,26.06,26.49,24.8,25.41,1,4511237.0,-4.077,negative
8,2009-09-02,sz.002281,25.02,26.45,24.92,25.98,1,4006202.0,2.2432,positive
9,2009-09-03,sz.002281,25.7,26.65,25.41,26.55,1,5342870.0,2.194,positive
10,2009-09-04,sz.002281,26.2,27.14,26.11,26.45,1,4402538.0,-0.3766,positive
11,2009-09-07,sz.002281,26.45,27.6,26.36,26.98,1,5497092.0,2.0038,positive
12,2009-09-08,sz.002281,26.8,27.18,26.39,26.97,1,3173171.0,-0.0371,positive
13,2009-09-09,sz.002281,26.85,28.58,25.99,28.23,1,8308159.0,4.6719,positive
14,2009-09-10,sz.002281,27.8,28.83,27.45,27.88,1,6909952.0,-1.2398,positive
15,2009-09-11,sz.002281,27.6,29.39,27.1,28.45,1,6507797.0,2.0445,positive
16,2009-09-14,sz.002281,28.57,28.97,28.08,28.84,1,4424258.0,1.3708,positive
17,2009-09-15,sz.002281,28.72,28.83,27.83,27.83,1,3910968.0,-3.5021,negative
18,2009-09-16,sz.002281,27.59,30.61,27.46,30.61,1,7948798.0,9.9892,positive
19,2009-09-17,sz.002281,31.0,32.1,30.06,30.34,1,10039108.0,-0.8821,negative
21,2009-09-21,sz.002281,29.5,29.78,27.32,28.88,1,5896838.0,-4.8121,negative
22,2009-09-22,sz.002281,28.57,30.0,28.23,28.72,1,4744982.0,-0.554,positive
23,2009-09-23,sz.002281,28.48,29.28,27.95,28.62,1,3490861.0,-0.3482,positive
24,2009-09-24,sz.002281,28.55,29.26,27.81,28.6,1,3278187.0,-0.0699,positive
25,2009-09-25,sz.002281,28.65,31.12,28.2,29.79,1,5340991.0,4.1608,positive
26,2009-09-28,sz.002281,29.7,30.3,28.01,28.15,1,3461971.0,-5.5052,negative
27,2009-09-29,sz.002281,27.82,28.18,25.81,26.43,1,3249736.0,-6.1101,negative
28,2009-09-30,sz.002281,26.8,27.27,26.18,26.31,1,1933735.0,-0.454,negative
29,2009-10-09,sz.002281,26.78,27.6,26.71,27.48,1,2089853.0,4.447,positive
30,2009-10-12,sz.002281,27.5,28.12,27.3,27.61,1,1954945.0,0.4731,positive
31,2009-10-13,sz.002281,27.59,28.22,27.41,28.22,1,1646676.0,2.2093,positive
32,2009-10-14,sz.002281,28.28,29.14,28.1,28.29,1,2980604.0,0.2481,positive
33,2009-10-15,sz.002281,28.5,29.32,28.45,28.75,1,2220177.0,1.626,positive
34,2009-10-16,sz.002281,28.76,29.29,28.27,28.88,1,1917915.0,0.4522,positive
35,2009-10-19,sz.002281,28.8,29.6,28.6,29.19,1,2703470.0,1.0734,positive
36,2009-10-20,sz.002281,29.2,30.72,29.2,30.72,1,4116574.0,5.2415,positive
37,2009-10-21,sz.002281,30.74,31.49,29.9,29.98,1,5312144.0,-2.4089,negative
38,2009-10-22,sz.002281,29.53,32.98,29.53,32.98,1,4780596.0,10.0067,positive
39,2009-10-23,sz.002281,34.28,36.26,33.88,34.11,1,10457516.0,3.4263,negative
40,2009-10-26,sz.002281,34.26,35.97,33.82,35.3,1,6572729.0,3.4887,positive
41,2009-10-27,sz.002281,34.5,34.95,32.98,33.0,1,5691066.0,-6.5156,negative
42,2009-10-28,sz.002281,32.88,36.3,32.8,36.3,1,6059213.0,9.999998,positive
43,2009-10-29,sz.002281,35.5,36.88,34.5,34.96,1,5915011.0,-3.6915,negative
44,2009-10-30,sz.002281,35.75,35.95,33.33,33.6,1,7044724.0,-3.8902,negative
45,2009-11-02,sz.002281,32.01,33.77,31.55,33.32,1,3680876.0,-0.8333,positive
46,2009-11-03,sz.002281,33.0,34.22,33.0,33.33,1,2733296.0,0.03,positive
47,2009-11-04,sz.002281,33.33,34.87,33.33,33.95,1,2821830.0,1.8602,positive
48,2009-11-05,sz.002281,33.65,34.37,33.4,34.25,1,2293028.0,0.8837,positive
49,2009-11-06,sz.002281,34.36,34.5,33.5,33.78,1,2248590.0,-1.3723,negative
50,2009-11-09,sz.002281,33.65,36.38,33.55,35.57,1,5009750.0,5.299,positive
51,2009-11-10,sz.002281,35.5,35.89,34.72,34.85,1,2253677.0,-2.0242,negative
52,2009-11-11,sz.002281,34.86,35.5,34.64,34.7,1,1519062.0,-0.4304,negative
53,2009-11-12,sz.002281,35.03,35.38,34.18,34.26,1,1950652.0,-1.268,negative
54,2009-11-13,sz.002281,34.0,34.9,33.8,34.7,1,2008339.0,1.2843,positive
55,2009-11-16,sz.002281,34.97,35.78,34.7,35.17,1,2718482.0,1.3545,positive
