,date,code,open,high,low,close,tradeStatus,volume,pctChg
0,2018/1/2,sz.000001,13.35,13.93,13.32,13.7,1,208159255,3.007516
1,2018/1/3,sz.000001,13.73,13.86,13.2,13.33,1,296249840,-2.700729
2,2018/1/4,sz.000001,13.32,13.37,13.13,13.25,1,185450948,-0.60015
3,2018/1/5,sz.000001,13.21,13.35,13.15,13.3,1,121031272,0.37736
4,2018/1/8,sz.000001,13.25,13.29,12.86,12.96,1,215862081,-2.556392
5,2018/1/9,sz.000001,12.96,13.2,12.92,13.08,1,134434509,0.925925
6,2018/1/10,sz.000001,13.04,13.49,12.92,13.47,1,240327736,2.981654
7,2018/1/11,sz.000001,13.41,13.59,13.27,13.4,1,144387781,-0.519678
8,2018/1/12,sz.000001,13.45,13.68,13.41,13.55,1,135399140,1.119407
9,2018/1/15,sz.000001,13.51,14.33,13.5,14.2,1,312239456,4.797045
10,2018/1/16,sz.000001,14.17,14.38,14.02,14.2,1,244454900,0
11,2018/1/17,sz.000001,14.33,14.8,14.2,14.23,1,265629401,0.211266
12,2018/1/18,sz.000001,14.4,14.72,14.28,14.72,1,214802680,3.443434
13,2018/1/19,sz.000001,14.8,15.13,14.68,14.8,1,257114669,0.543478
14,2018/1/22,sz.000001,14.6,14.94,14.43,14.44,1,207386714,-2.432436
15,2018/1/23,sz.000001,14.36,14.9,14.33,14.65,1,238879170,1.454294
16,2018/1/24,sz.000001,14.66,15.08,14.5,14.64,1,259129212,-0.068254
17,2018/1/25,sz.000001,14.45,14.47,14,14.2,1,236998459,-3.005468
18,2018/1/26,sz.000001,14.18,14.34,14.02,14.05,1,203298865,-1.056335
19,2018/1/29,sz.000001,14.05,14.25,13.6,13.74,1,209054668,-2.206409
20,2018/1/30,sz.000001,13.7,13.84,13.55,13.65,1,109473986,-0.655023
21,2018/1/31,sz.000001,13.6,14.05,13.53,14.05,1,174772914,2.930407
22,2018/2/1,sz.000001,13.95,14.3,13.84,14.03,1,200561475,-0.142352
23,2018/2/2,sz.000001,13.91,14.1,13.63,14.05,1,117651271,0.142555
24,2018/2/5,sz.000001,13.8,14.57,13.73,14.55,1,233199790,3.558719
25,2018/2/6,sz.000001,14.23,14.33,13.93,14,1,258287204,-3.78007
26,2018/2/7,sz.000001,14.22,14.3,12.76,12.92,1,334571696,-7.714285
27,2018/2/8,sz.000001,12.83,12.92,12.53,12.54,1,213781506,-2.941177
28,2018/2/9,sz.000001,12.08,12.08,11.38,11.69,1,282494976,-6.778313
29,2018/2/12,sz.000001,11.78,11.84,11.56,11.72,1,122878244,0.256636
30,2018/2/13,sz.000001,11.87,12.21,11.84,11.94,1,129817869,1.877127
31,2018/2/14,sz.000001,11.96,12.03,11.76,12,1,86419024,0.502516
32,2018/2/22,sz.000001,12.25,12.53,12.25,12.46,1,126840607,3.833334
33,2018/2/23,sz.000001,12.58,12.79,12.45,12.61,1,101366320,1.203849
34,2018/2/26,sz.000001,12.77,12.85,12.45,12.63,1,104575874,0.158608
35,2018/2/27,sz.000001,12.64,12.7,12.19,12.28,1,128586906,-2.771183
36,2018/2/28,sz.000001,12.1,12.19,11.93,12.05,1,121414559,-1.87296
37,2018/3/1,sz.000001,11.92,12.15,11.9,12.04,1,88695718,-0.082989
38,2018/3/2,sz.000001,11.92,12.04,11.85,11.95,1,66312416,-0.74751
39,2018/3/5,sz.000001,11.93,12.08,11.8,11.86,1,75418313,-0.753139
40,2018/3/6,sz.000001,11.95,12.11,11.77,12.1,1,115016249,2.023615
41,2018/3/7,sz.000001,12.15,12.34,12.04,12.05,1,142757032,-0.413225
42,2018/3/8,sz.000001,12.05,12.15,11.95,12.11,1,68975503,0.497921
43,2018/3/9,sz.000001,12.15,12.2,11.98,12.09,1,94387697,-0.165149
44,2018/3/12,sz.000001,12.15,12.17,11.95,12.03,1,126870132,-0.496281
45,2018/3/13,sz.000001,12.04,12.22,12,12.02,1,108226732,-0.083119
46,2018/3/14,sz.000001,11.98,12,11.83,11.92,1,63559413,-0.83195
47,2018/3/15,sz.000001,11.79,11.85,11.66,11.71,1,115569473,-1.761745
48,2018/3/16,sz.000001,11.72,11.85,11.64,11.64,1,96298338,-0.597777
49,2018/3/19,sz.000001,11.66,11.84,11.61,11.83,1,80853872,1.632299
50,2018/3/20,sz.000001,11.74,11.88,11.72,11.82,1,77615002,-0.084533
51,2018/3/21,sz.000001,11.95,12.12,11.85,11.9,1,144510951,0.676818
52,2018/3/22,sz.000001,11.9,11.97,11.62,11.66,1,98427842,-2.016805
53,2018/3/23,sz.000001,11.25,11.35,10.92,11.34,1,182569075,-2.744423
54,2018/3/26,sz.000001,11.15,11.2,10.86,10.93,1,138359851,-3.615519
55,2018/3/27,sz.000001,11.1,11.17,10.86,10.94,1,110393361,0.091485
56,2018/3/28,sz.000001,10.85,11.14,10.79,10.89,1,109902339,-0.457031
57,2018/3/29,sz.000001,10.92,11.17,10.55,11.05,1,133060238,1.469236
58,2018/3/30,sz.000001,11.04,11.05,10.88,10.9,1,75217368,-1.357471
59,2018/4/2,sz.000001,10.87,10.99,10.7,10.71,1,110931643,-1.743115
60,2018/4/3,sz.000001,10.6,10.67,10.51,10.56,1,89074565,-1.400557
61,2018/4/4,sz.000001,10.68,11.01,10.6,10.87,1,160248873,2.935601
62,2018/4/9,sz.000001,10.8,11.1,10.73,11.02,1,107479576,1.37995
63,2018/4/10,sz.000001,11.02,11.46,10.97,11.42,1,139095079,3.629761
64,2018/4/11,sz.000001,11.39,11.92,11.38,11.83,1,209597045,3.590191
65,2018/4/12,sz.000001,11.8,11.83,11.42,11.52,1,117312818,-2.620452
66,2018/4/13,sz.000001,11.64,11.79,11.45,11.57,1,130025597,0.434021
67,2018/4/16,sz.000001,11.47,11.47,11.03,11.1,1,142707281,-4.062224
68,2018/4/17,sz.000001,11.12,11.45,11.11,11.21,1,130189172,0.990988
69,2018/4/18,sz.000001,11.45,11.61,11.28,11.5,1,147584533,2.586976
70,2018/4/19,sz.000001,11.52,11.69,11.42,11.47,1,84913183,-0.260867
71,2018/4/20,sz.000001,11.51,11.58,11.2,11.35,1,95869066,-1.046206
72,2018/4/23,sz.000001,11.3,11.61,11.26,11.57,1,107028935,1.93832
73,2018/4/24,sz.000001,11.63,11.94,11.58,11.86,1,146109880,2.506482
74,2018/4/25,sz.000001,11.76,11.81,11.63,11.68,1,73028648,-1.517701
75,2018/4/26,sz.000001,11.66,11.69,11.31,11.42,1,87423591,-2.226029
76,2018/4/27,sz.000001,11.49,11.51,10.63,10.85,1,270979568,-4.991241
77,2018/5/2,sz.000001,10.97,11.03,10.8,10.88,1,119052318,0.276495
78,2018/5/3,sz.000001,10.86,10.88,10.57,10.75,1,128135557,-1.194854
79,2018/5/4,sz.000001,10.73,10.83,10.66,10.68,1,71050952,-0.65116
80,2018/5/7,sz.000001,10.7,10.83,10.64,10.81,1,97430967,1.217229
81,2018/5/8,sz.000001,10.83,11.15,10.8,11.01,1,137330568,1.850137
82,2018/5/9,sz.000001,10.98,11.03,10.88,10.97,1,62765613,-0.363306
83,2018/5/10,sz.000001,11.03,11.09,10.91,11.01,1,55273588,0.364631
84,2018/5/11,sz.000001,11.04,11.13,10.96,11.01,1,77236966,0
85,2018/5/14,sz.000001,11.09,11.23,11.03,11.18,1,103929716,1.544052
86,2018/5/15,sz.000001,11.18,11.19,11.02,11.12,1,66926144,-0.536676
87,2018/5/16,sz.000001,11.07,11.07,10.89,10.9,1,71436208,-1.97842
88,2018/5/17,sz.000001,10.91,10.94,10.78,10.82,1,58649438,-0.733944
89,2018/5/18,sz.000001,10.81,10.97,10.76,10.96,1,57838477,1.293903
90,2018/5/21,sz.000001,11.07,11.11,10.93,10.95,1,76353357,-0.091243
91,2018/5/22,sz.000001,10.95,10.98,10.79,10.86,1,58987185,-0.821919
92,2018/5/23,sz.000001,10.82,10.82,10.62,10.65,1,99101629,-1.933702
93,2018/5/24,sz.000001,10.66,10.68,10.58,10.61,1,68815202,-0.375586
94,2018/5/25,sz.000001,10.61,10.67,10.55,10.59,1,59333567,-0.188497
95,2018/5/28,sz.000001,10.58,10.66,10.51,10.59,1,56940092,0
96,2018/5/29,sz.000001,10.58,10.63,10.35,10.38,1,88949497,-1.983003
97,2018/5/30,sz.000001,10.29,10.29,10.05,10.08,1,112444704,-2.890175
98,2018/5/31,sz.000001,10.11,10.19,10.02,10.18,1,98736038,0.992067
99,2018/6/1,sz.000001,10.15,10.29,10.07,10.19,1,59721116,0.098225
100,2018/6/4,sz.000001,10.23,10.31,10.15,10.27,1,59303835,0.785092
