,Unnamed: 0,date,code,open,high,low,close,volume,amount,turn,pctChg,peTTM,2_MA,5_MA,15_MA,30_MA,60_MA,Slope_2_MA,Slope_5_MA,Slope_15_MA,Slope_30_MA,Slope_60_MA,index
0,70,2024-04-19,1,10.71,10.82,10.66,10.69,1457675,1562376146.58,0.75,-1.02,4.47,10.745,10.535999999999998,10.450666666666669,10.448666666666666,10.155333333333337,0.0350000000000001,0.0350000000000001,0.0106666666666672,0.0119999999999986,0.0225000000000008,59
1,69,2024-04-18,1,10.58,11.03,10.56,10.8,3165914,3427338981.81,1.63,1.69,4.51,10.71,10.41,10.44,10.436666666666667,10.132833333333334,0.2600000000000015,0.2600000000000015,0.0133333333333336,0.0123333333333341,0.0265000000000004,58
2,68,2024-04-17,1,10.26,10.63,10.21,10.62,2232641,2337576586.88,1.15,3.31,4.44,10.45,10.3,10.426666666666666,10.424333333333331,10.106333333333334,0.1649999999999991,0.1649999999999991,0.014666666666665,0.009666666666666,0.0238333333333322,57
3,67,2024-04-16,1,10.28,10.39,10.22,10.28,1478036,1523138499.07,0.76,-0.1,4.29,10.285,10.232,10.412,10.414666666666667,10.0825,0.1099999999999994,0.1099999999999994,-0.0053333333333345,-0.0070000000000014,0.018500000000003,56
4,66,2024-04-15,1,10.07,10.32,10.06,10.29,1453203,1486326196.01,0.75,2.29,4.3,10.175,10.256,10.417333333333335,10.421666666666669,10.063999999999998,0.0199999999999995,0.0199999999999995,-0.0119999999999986,-0.009999999999998,0.0199999999999977,55
5,65,2024-04-12,1,10.22,10.27,10.04,10.06,1305454,1322011753.93,0.67,-1.85,4.2,10.155,10.284,10.429333333333334,10.431666666666668,10.044,-0.1099999999999994,-0.1099999999999994,-0.025999999999998,-0.014333333333333,0.0146666666666668,54
6,64,2024-04-11,1,10.24,10.29,10.12,10.25,1010213,1030820137.39,0.52,-0.29,,10.265,10.364,10.455333333333332,10.446,10.029333333333334,-0.0749999999999992,-0.0749999999999992,-0.0099999999999997,-0.0083333333333328,0.0183333333333326,53
7,63,2024-04-10,1,10.38,10.41,10.27,10.28,1246391,1288696196.29,0.64,-1.15,,10.34,10.424,10.465333333333332,10.454333333333333,10.011,-0.0749999999999992,-0.0749999999999992,-0.0173333333333349,-0.0083333333333346,0.0168333333333343,52
8,62,2024-04-09,1,10.43,10.47,10.36,10.4,857157,891468991.01,0.44,-0.29,,10.415,10.496,10.482666666666669,10.462666666666667,9.994166666666668,-0.0300000000000011,-0.0300000000000011,-0.0133333333333336,-0.0149999999999987,0.0214999999999996,51
9,61,2024-04-08,1,10.42,10.49,10.37,10.43,906361,945290441.32,0.47,-0.29,4.36,10.445,10.52,10.496,10.477666666666666,9.972666666666669,-0.0600000000000005,-0.0600000000000005,0.0133333333333336,-0.0156666666666662,0.0205000000000001,50
